CallNumber,Description,Level
915,Asia,3
918,South America,3
920,Biography, genealogy, insignia,2
930,History of ancient world,2
933,History of ancient world Palestine,3
934,History of ancient world India,3
937,History of ancient world Italy & adjacent territories,3
938,History of ancient world Greece,3
940,General history of Europe,2
950,General history of Asia,2
960,General history of Africa,2
961,General history of Africa Tunisia & Libya,3
965,General history of Africa Algeria,3
968,General history of Africa Southern Africa,3
969,General history of Africa South Indian Ocean islands,3
970,General history of North America,2
980,General history of South America,2
990,General history of other areas,2
993,General history of other areas New Zealand,3
994,General history of other areas Australia,3
995,General history of other areas Melanesia New Guinea,3
997,General history of other areas Atlantic Ocean islands,3
